date,amount,phase,containment,zone,plume_group,region
2020-01-01,1239082991.814163,total,total,all,all,all
2040-01-01,1353398788.9796329,total,total,all,all,all
2060-01-01,1480244528.2394965,total,total,all,all,all
2080-01-01,1621996099.2275999,total,total,all,all,all
2100-01-01,1780260508.4068232,total,total,all,all,all
2120-01-01,1955694462.8299494,total,total,all,all,all
2140-01-01,2148045191.643465,total,total,all,all,all
2160-01-01,2356363918.513242,total,total,all,all,all
2180-01-01,2579290924.405321,total,total,all,all,all
2200-01-01,2815312778.1415205,total,total,all,all,all
2020-01-01,101254016.0954127,dissolved_water,total,all,all,all
2040-01-01,110546251.94244584,dissolved_water,total,all,all,all
2060-01-01,120823491.05473366,dissolved_water,total,all,all,all
2080-01-01,132264908.95506763,dissolved_water,total,all,all,all
2100-01-01,144987643.73536885,dissolved_water,total,all,all,all
2120-01-01,159033676.5277835,dissolved_water,total,all,all,all
2140-01-01,174373590.67528135,dissolved_water,total,all,all,all
2160-01-01,190923289.96642697,dissolved_water,total,all,all,all
2180-01-01,208566204.3739335,dissolved_water,total,all,all,all
2200-01-01,227173598.76655313,dissolved_water,total,all,all,all
2020-01-01,1137828975.7187505,gas,total,all,all,all
2040-01-01,1242852537.037187,gas,total,all,all,all
2060-01-01,1359421037.184763,gas,total,all,all,all
2080-01-01,1489731190.2725322,gas,total,all,all,all
2100-01-01,1635272864.6714544,gas,total,all,all,all
2120-01-01,1796660786.3021657,gas,total,all,all,all
2140-01-01,1973671600.9681835,gas,total,all,all,all
2160-01-01,2165440628.546815,gas,total,all,all,all
2180-01-01,2370724720.031387,gas,total,all,all,all
2200-01-01,2588139179.374968,gas,total,all,all,all
2020-01-01,1233786285.762643,total,contained,all,all,all
2040-01-01,1342293548.2002525,total,contained,all,all,all
2060-01-01,1459078741.7088153,total,contained,all,all,all
2080-01-01,1584891579.947991,total,contained,all,all,all
2100-01-01,1719801802.1271398,total,contained,all,all,all
2120-01-01,1863202571.0505016,total,contained,all,all,all
2140-01-01,2013896839.45876,total,contained,all,all,all
2160-01-01,2170231614.0885887,total,contained,all,all,all
2180-01-01,2330264412.173429,total,contained,all,all,all
2200-01-01,2491942787.1315646,total,contained,all,all,all
2020-01-01,100870057.53658803,dissolved_water,contained,all,all,all
2040-01-01,109741232.3352719,dissolved_water,contained,all,all,all
2060-01-01,119289181.86637616,dissolved_water,contained,all,all,all
2080-01-01,129575200.10022493,dissolved_water,contained,all,all,all
2100-01-01,140604988.67100066,dissolved_water,contained,all,all,all
2120-01-01,152328934.6890497,dissolved_water,contained,all,all,all
2140-01-01,164649171.75132105,dissolved_water,contained,all,all,all
2160-01-01,177430556.9019371,dissolved_water,contained,all,all,all
2180-01-01,190514279.5343222,dissolved_water,contained,all,all,all
2200-01-01,203732538.78443885,dissolved_water,contained,all,all,all
2020-01-01,1132916228.2260551,gas,contained,all,all,all
2040-01-01,1232552315.8649807,gas,contained,all,all,all
2060-01-01,1339789559.8424392,gas,contained,all,all,all
2080-01-01,1455316379.847766,gas,contained,all,all,all
2100-01-01,1579196813.4561393,gas,contained,all,all,all
2120-01-01,1710873636.3614519,gas,contained,all,all,all
2140-01-01,1849247667.707439,gas,contained,all,all,all
2160-01-01,1992801057.1866517,gas,contained,all,all,all
2180-01-01,2139750132.6391068,gas,contained,all,all,all
2200-01-01,2288210248.3471255,gas,contained,all,all,all
2020-01-01,0.08411277447944168,total,hazardous,all,all,all
2040-01-01,0.4972443205917002,total,hazardous,all,all,all
2060-01-01,2.4046507351853887,total,hazardous,all,all,all
2080-01-01,9.833117007764173,total,hazardous,all,all,all
2100-01-01,34.9014602751616,total,hazardous,all,all,all
2120-01-01,109.7985801808236,total,hazardous,all,all,all
2140-01-01,311.3944159832687,total,hazardous,all,all,all
2160-01-01,807.2577555927642,total,hazardous,all,all,all
2180-01-01,1935.0126348236909,total,hazardous,all,all,all
2200-01-01,4329.944810463813,total,hazardous,all,all,all
2020-01-01,0.005100592395885469,dissolved_water,hazardous,all,all,all
2040-01-01,0.030152858661524166,dissolved_water,hazardous,all,all,all
2060-01-01,0.14581784194557468,dissolved_water,hazardous,all,all,all
2080-01-01,0.5962794848707852,dissolved_water,hazardous,all,all,all
2100-01-01,2.116421958335212,dissolved_water,hazardous,all,all,all
2120-01-01,6.658177745476826,dissolved_water,hazardous,all,all,all
2140-01-01,18.882934252438172,dissolved_water,hazardous,all,all,all
2160-01-01,48.9520503297914,dissolved_water,hazardous,all,all,all
2180-01-01,117.33902242799415,dissolved_water,hazardous,all,all,all
2200-01-01,262.5675316447137,dissolved_water,hazardous,all,all,all
2020-01-01,0.07901218208355622,gas,hazardous,all,all,all
2040-01-01,0.46709146193017603,gas,hazardous,all,all,all
2060-01-01,2.258832893239814,gas,hazardous,all,all,all
2080-01-01,9.236837522893389,gas,hazardous,all,all,all
2100-01-01,32.78503831682639,gas,hazardous,all,all,all
2120-01-01,103.14040243534679,gas,hazardous,all,all,all
2140-01-01,292.5114817308305,gas,hazardous,all,all,all
2160-01-01,758.3057052629728,gas,hazardous,all,all,all
2180-01-01,1817.6736123956966,gas,hazardous,all,all,all
2200-01-01,4067.3772788190995,gas,hazardous,all,all,all
2020-01-01,5296705.967407293,total,outside,all,all,all
2040-01-01,11105240.282135973,total,outside,all,all,all
2060-01-01,21165784.126030494,total,outside,all,all,all
2080-01-01,37104509.44649179,total,outside,all,all,all
2100-01-01,60458671.37822308,total,outside,all,all,all
