date,amount,phase,containment,zone,plume_group,region
2020-01-01,7229864.473715102,total,total,all,all,all
2040-01-01,7878194.463479308,total,total,all,all,all
2060-01-01,8537813.30741184,total,total,all,all,all
2080-01-01,9216134.939518347,total,total,all,all,all
2100-01-01,9919898.190693708,total,total,all,all,all
2120-01-01,10654436.484033717,total,total,all,all,all
2140-01-01,11423315.521594603,total,total,all,all,all
2160-01-01,12228398.859738361,total,total,all,all,all
2180-01-01,13070172.10965726,total,total,all,all,all
2200-01-01,13948145.296562532,total,total,all,all,all
2020-01-01,309956.61156034825,dissolved_water,total,all,all,all
2040-01-01,337581.992816127,dissolved_water,total,all,all,all
2060-01-01,365546.82095458976,dissolved_water,total,all,all,all
2080-01-01,394106.44993605174,dissolved_water,total,all,all,all
2100-01-01,423488.4939867828,dissolved_water,total,all,all,all
2120-01-01,453872.95781175356,dissolved_water,total,all,all,all
2140-01-01,485384.38972944196,dissolved_water,total,all,all,all
2160-01-01,518095.5097959489,dissolved_water,total,all,all,all
2180-01-01,552035.9173956814,dissolved_water,total,all,all,all
2200-01-01,587201.3830922783,dissolved_water,total,all,all,all
2020-01-01,6919907.862154755,gas,total,all,all,all
2040-01-01,7540612.470663181,gas,total,all,all,all
2060-01-01,8172266.486457251,gas,total,all,all,all
2080-01-01,8822028.489582295,gas,total,all,all,all
2100-01-01,9496409.696706925,gas,total,all,all,all
2120-01-01,10200563.526221965,gas,total,all,all,all
2140-01-01,10937931.131865162,gas,total,all,all,all
2160-01-01,11710303.349942412,gas,total,all,all,all
2180-01-01,12518136.192261579,gas,total,all,all,all
2200-01-01,13360943.913470253,gas,total,all,all,all
2020-01-01,7218429.448062112,total,contained,all,all,all
2040-01-01,7853483.46693672,total,contained,all,all,all
2060-01-01,8489370.787213292,total,contained,all,all,all
2080-01-01,9128979.72254485,total,contained,all,all,all
2100-01-01,9774610.18709738,total,contained,all,all,all
2120-01-01,10428068.97471502,total,contained,all,all,all
2140-01-01,11090859.709266039,total,contained,all,all,all
2160-01-01,11764301.232538827,total,contained,all,all,all
2180-01-01,12449466.335206537,total,contained,all,all,all
2200-01-01,13146993.275907386,total,contained,all,all,all
2020-01-01,309624.46081043605,dissolved_water,contained,all,all,all
2040-01-01,336864.2169920717,dissolved_water,contained,all,all,all
2060-01-01,364139.7164748136,dissolved_water,contained,all,all,all
2080-01-01,391574.84944334836,dissolved_water,contained,all,all,all
2100-01-01,419268.2675072369,dissolved_water,contained,all,all,all
2120-01-01,447297.47056778223,dissolved_water,contained,all,all,all
2140-01-01,475726.95447312196,dissolved_water,contained,all,all,all
2160-01-01,504613.2891018651,dissolved_water,contained,all,all,all
2180-01-01,534002.4903132961,dissolved_water,contained,all,all,all
